x-axis,1,2
second,Volt,Volt
-8.000000E-03,+5.098964795E+00,+3.784297898E+00
-7.992000E-03,+4.984071453E+00,+3.830208574E+00
-7.984000E-03,+4.995724101E+00,+3.784297898E+00
-7.976000E-03,+4.938160777E+00,+3.841627917E+00
-7.968000E-03,+5.053287426E+00,+3.784297898E+00
-7.960000E-03,+4.995257489E+00,+3.795950547E+00
-7.952000E-03,+4.972418804E+00,+3.750039871E+00
-7.944000E-03,+5.018329480E+00,+3.864466602E+00
-7.936000E-03,+4.938160777E+00,+3.864699908E+00
-7.928000E-03,+4.810914868E+00,+3.784297898E+00
-7.920000E-03,+4.961466074E+00,+3.807603195E+00
-7.912000E-03,+4.995957407E+00,+3.784297898E+00
-7.904000E-03,+4.938160777E+00,+3.852813953E+00
-7.896000E-03,+4.938160777E+00,+3.818322620E+00
-7.888000E-03,+5.018096174E+00,+3.704362501E+00
-7.880000E-03,+4.973118722E+00,+3.784297898E+00
-7.872000E-03,+4.879664229E+00,+3.795250629E+00
-7.864000E-03,+4.938160777E+00,+3.864699908E+00
-7.856000E-03,+4.880130841E+00,+3.864699908E+00
-7.848000E-03,+4.881997289E+00,+3.864699908E+00
-7.840000E-03,+4.971952192E+00,+3.851880729E+00
-7.832000E-03,+4.937460859E+00,+3.944401999E+00
-7.824000E-03,+4.938160777E+00,+3.784297898E+00
-7.816000E-03,+4.938160777E+00,+3.853980483E+00
-7.808000E-03,+4.938160777E+00,+3.817156090E+00
-7.800000E-03,+4.996424019E+00,+3.784297898E+00
-7.792000E-03,+5.006210220E+00,+3.796650465E+00
-7.784000E-03,+4.985004677E+00,+3.817856008E+00
-7.776000E-03,+5.018562786E+00,+3.864699908E+00
-7.768000E-03,+5.053987344E+00,+3.819722456E+00
-7.760000E-03,+5.077992559E+00,+3.714382008E+00
-7.752000E-03,+4.938160777E+00,+3.832308328E+00
-7.744000E-03,+5.018562786E+00,+3.842794447E+00
-7.736000E-03,+4.925574905E+00,+3.729067634E+00
-7.728000E-03,+4.985237983E+00,+3.798050301E+00
-7.720000E-03,+4.939327307E+00,+3.784297898E+00
-7.712000E-03,+4.938160777E+00,+3.829042044E+00
-7.704000E-03,+4.998057162E+00,+3.864699908E+00
-7.696000E-03,+5.018562786E+00,+3.703895889E+00
-7.688000E-03,+4.981505087E+00,+3.784297898E+00
-7.680000E-03,+4.938160777E+00,+3.784297898E+00
-7.672000E-03,+4.971252274E+00,+3.784297898E+00
-7.664000E-03,+4.939560613E+00,+3.784297898E+00
-7.656000E-03,+4.982671617E+00,+3.784297898E+00
